LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-121.7556732,37.6887198,103,APRICOT ST,,LIVERMORE,,,94551,99-1390-5,3897dd0bdaf9a124
-121.7557376,37.6886853,105,APRICOT ST,,LIVERMORE,,,94551,99-1390-5,b95330aac808f16f
-121.7558093,37.6886584,107,APRICOT ST,,LIVERMORE,,,94551,99-1390-5,bd2c6d039dff434b
-121.7558666,37.6886307,109,APRICOT ST,,LIVERMORE,,,94551,99-1390-5,84b5e2999054cb3a
-121.7555573,37.6885639,113,APRICOT ST,,LIVERMORE,,,94551,99-1390-5,038630c958b09bf6
-121.7556934,37.6885025,117,APRICOT ST,,LIVERMORE,,,94551,99-1390-5,d2a7b8b06a4eb312
-121.7557507,37.6884748,119,APRICOT ST,,LIVERMORE,,,94551,99-1390-5,312ea9e3b2263d48
-121.7554936,37.6885864,111,APRICOT ST,,LIVERMORE,,,94551,99-1390-5,46f1313136a5388a
-121.7556217,37.6885294,115,APRICOT ST,,LIVERMORE,,,94551,99-1390-5,6a74a40832608217
-121.7554354,37.6883943,123,APRICOT ST,,LIVERMORE,,,94551,99-1390-5,c4aab2e5516d0769
-121.7555715,37.6883329,127,APRICOT ST,,LIVERMORE,,,94551,99-1390-5,2cc985ab607fef45
-121.7556288,37.6883052,129,APRICOT ST,,LIVERMORE,,,94551,99-1390-5,4d5466527e7d578a
-121.7553717,37.6884168,121,APRICOT ST,,LIVERMORE,,,94551,99-1390-5,66e4124d4c312c71
-121.7554998,37.6883598,125,APRICOT ST,,LIVERMORE,,,94551,99-1390-5,ef56796f117ef244
-121.7553195,37.6882383,133,APRICOT ST,,LIVERMORE,,,94551,99-1390-5,f51df9d21cddf86d
-121.7554556,37.688177,137,APRICOT ST,,LIVERMORE,,,94551,99-1390-5,e31c0499c00a97a7
-121.7555128,37.6881493,139,APRICOT ST,,LIVERMORE,,,94551,99-1390-5,c9934ce819ee44c9
-121.7552558,37.6882609,131,APRICOT ST,,LIVERMORE,,,94551,99-1390-5,62c0a69bae1334ee
-121.7553839,37.6882039,135,APRICOT ST,,LIVERMORE,,,94551,99-1390-5,b04d1277560b8c5c
-121.7553808,37.6879803,141,APRICOT ST,,LIVERMORE,,,94551,99-1390-5,a3eea94fe3a24c8b
-121.7553408,37.687928,143,APRICOT ST,,LIVERMORE,,,94551,99-1390-5,f65304e29c76c704
-121.7553034,37.6878792,145,APRICOT ST,,LIVERMORE,,,94551,99-1390-5,7998b27c6c5edd2c
-121.7552675,37.6878323,147,APRICOT ST,,LIVERMORE,,,94551,99-1390-5,7bfeccac4f906b87
-121.7551509,37.6880819,149,APRICOT ST,,LIVERMORE,,,94551,99-1390-5,89f7baf20d919446
-121.7551109,37.6880297,151,APRICOT ST,,LIVERMORE,,,94551,99-1390-5,5c515cb93a271dbb
-121.7550735,37.6879809,153,APRICOT ST,,LIVERMORE,,,94551,99-1390-5,7754de181a362d63
-121.7550376,37.687934,155,APRICOT ST,,LIVERMORE,,,94551,99-1390-5,a139b69ec9ae861b
-121.7557172,37.6889452,3711,FIRST ST,,LIVERMORE,,,94551,99-1390-5,368e0b01074543f4
-121.7556481,37.6889732,3713,FIRST ST,,LIVERMORE,,,94551,99-1390-5,1007a3272a9ed594
-121.7555837,37.68901,3715,FIRST ST,,LIVERMORE,,,94551,99-1390-5,9748ea81cbf9c5a3
-121.7555254,37.6890364,3717,FIRST ST,,LIVERMORE,,,94551,99-1390-5,6b652d0da607ab2f
-121.7560413,37.688793,3703,FIRST ST,,LIVERMORE,,,94551,99-1390-5,835689934b08c6de
-121.7559721,37.688821,3705,FIRST ST,,LIVERMORE,,,94551,99-1390-5,ba606dec95c4ae5c
-121.7559077,37.6888578,3707,FIRST ST,,LIVERMORE,,,94551,99-1390-5,d7d1d41b2ee6a7c8
-121.7558495,37.6888842,3709,FIRST ST,,LIVERMORE,,,94551,99-1390-5,dd8d1123e79b4168
-122.0825545,37.6683888,22875,WATKINS ST,,HAYWARD,,,94541,428-81-20-1,136b885a307c56be
-122.0571716,37.6767659,2449,CENTENNIAL LN,,HAYWARD,,,94541,426-50-96,d7d93a538545324d
-122.0576296,37.6767637,2448,CENTENNIAL LN,,HAYWARD,,,94541,426-50-102,bd107fd959801ba6
-122.057752,37.6770009,24038,MADEIROS AV,,HAYWARD,,,94541,426-50-94,ae44c8d1bf450f9b
-122.0575331,37.6770301,2425,CENTENNIAL LN,,HAYWARD,,,94541,426-50-94,6774a2cc3a43c0a3
-122.0575085,37.6773977,23979,MADEIROS AV,,HAYWARD,,,94541,426-50-94,d8c5f7ae3635798f
-122.0570884,37.6770728,2437,CENTENNIAL LN,,HAYWARD,,,94541,426-50-95,1129819ac5e0078f
-122.0579541,37.6766782,2436,CENTENNIAL LN,,HAYWARD,,,94541,426-50-92,a9550d027d9c71f5
-122.0582133,37.6767745,2424,CENTENNIAL LN,,HAYWARD,,,94541,426-50-93,ab8741e652b8760d
-122.0582042,37.6770767,24070,MADEIROS AV,,HAYWARD,,,94541,426-50-61,d03d196cede1034e
-122.0584941,37.6771198,24016,MADEIROS AV,,HAYWARD,,,94541,426-50-60,ac9634e840a61f79
-122.0584525,37.6775132,24065,MADEIROS AV,,HAYWARD,,,94541,426-50-103,ae24dae3418dcec8
-122.0580491,37.6770515,24068,MADEIROS AV,,HAYWARD,,,94541,426-50-91-2,aa8407f93b4b7bd4
-122.0578977,37.6770206,24066,MADEIROS AV,,HAYWARD,,,94541,426-50-91-2,12d8d099fda79c6e
-122.0578362,37.6774894,24063,MADEIROS AV,,HAYWARD,,,94541,426-50-104-1,a4fbbbfc4f9540fc
-122.2684602,37.8308935,4101,MARTIN LUTHER KING JR WY,,OAKLAND,,,94609,12-1014-5-2,352f4ff2d890c3e9
-122.2684379,37.8311523,4127,MARTIN LUTHER KING JR WY,,OAKLAND,,,94609,12-1014-3-3,91aa35de50a71135
-122.10823,37.7019174,16292,FOOTHILL BL,,SAN LEANDRO,,,94578,80A-239-84,9dbebf0f6b0aefce
-121.9941311,37.5395389,39009,CINDY ST,,FREMONT,,,94538,501-958-104-9,742a0bb8e78cbe1f
-121.9941311,37.5395389,39120,SERRA PL,,FREMONT,,,94538,501-958-104-9,41a090aff755b4aa
-121.9941311,37.5395389,4686,MOWRY AV,,FREMONT,,,94538,501-958-104-9,ccbf9c6bdca0bb74
-121.9946952,37.5402048,4660,MOWRY AV,,FREMONT,,,94538,501-958-103-1,df2a8e558bc68903
-122.1373887,37.6798541,15787,WASHINGTON AV,,SAN LORENZO,,,94580,411-24-5,9bbbb9a553121d7c
-122.1375737,37.6801948,15785,WASHINGTON AV,,SAN LORENZO,,,94580,411-24-4,575daea048756609
-122.1377444,37.6804078,15775,WASHINGTON AV,,SAN LORENZO,,,94580,411-24-3,b8dcad3c9a57cc8a
-122.2917317,37.8404726,5885,HORTON ST,,EMERYVILLE,,,94608,49-1325-108,0318ea4d180514fd
-122.2775379,37.8112736,1917,WEST ST,,OAKLAND,,,94612,3-33-45,d90d35d8a0e96a56
-122.1887607,37.7399196,8900,EDES AV,,OAKLAND,,,94621,42-4313-10,3871bdcacca0531c
-122.2679065,37.7964571,174,6TH ST,,OAKLAND,,,94607,1-175-52,182b32f5cf2a4ac7
-121.7941226,37.7062532,698,PORTOLA AV,,LIVERMORE,,,94551,903-10-66,2bcb6a1ae3c3d03f
-121.7947747,37.7065202,680,PORTOLA AV,Z,LIVERMORE,,,94551,903-10-66,8b027f7b08dfbb4c
-121.7946111,37.7064305,692,PORTOLA AV,Z,LIVERMORE,,,94551,903-10-66,291f32e735bb903f
-121.9557417,37.5059561,4273,SOLAR WY,,FREMONT,,,94538,525-1652-11-3,1accb57ab9fee3d8
-121.9564597,37.5064347,4280,TECHNOLOGY DR,,FREMONT,,,94538,525-1652-9-3,06a34263ce2e195d
